Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Non-Cash Items";"Change in Working Capital";"Change in Accounts Receivable";"Change in Inventories";"Change in Accounts Payable";"Change in Other";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Long Term Investment";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Net Change in Cash"
1COV.DE;854465;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;202500000;202500000;806000000;683000000;116000000;181000000;;;;;1786000000;-413000000;-15000000;;-958000000;-143000000;-934000000;;-1206000000;-375000000
1COV.DE;854465;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;202396416;202396416;2017000000;627000000;253000000;-536000000;;;;;2361000000;-502000000;-29000000;43000000;-747000000;-274000000;-86000000;-143000000;-634000000;980000000
1COV.DE;854465;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;192768826;192768826;1829000000;620000000;158000000;-231000000;;;;;2376000000;-684000000;-19000000;66000000;-346000000;-441000000;-582000000;-1305000000;-2402000000;-372000000
1COV.DE;854465;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;182728724;182728724;557000000;752000000;-3000000;77000000;;;;;1383000000;-904000000;-13000000;40000000;-838000000;-442000000;-147000000;7000000;-668000000;-117000000
1COV.DE;854465;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;182728724;182728724;454000000;776000000;120000000;-116000000;;;;;1234000000;-698000000;-9000000;-3000000;-1769000000;-221000000;1056000000;4000000;1204000000;655000000
ADS.DE;847329;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;200188276;206146908;1158000000;376000000;-79000000;-145000000;;;;;1349000000;-637000000;-33000000;50000000;-615000000;-322000000;18000000;-218000000;-555000000;144000000
ADS.DE;847329;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;202391673;204240629;1504000000;484000000;-75000000;-271000000;;;;;1648000000;-744000000;-132000000;199000000;-681000000;-406000000;-275000000;-100000000;-768000000;88000000
ADS.DE;847329;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;201759012;202044967;1581000000;490000000;-77000000;712000000;;;;;2686000000;-692000000;-56000000;42000000;-635000000;-529000000;617000000;-1003000000;-990000000;1032000000
ADS.DE;847329;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;197606107;197606107;1976000000;1214000000;-115000000;-248000000;;;;;2818000000;-695000000;-80000000;132000000;-927000000;-666000000;-639000000;-837000000;-2274000000;-413000000
ADS.DE;847329;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;195155924;195161729;578000000;1261000000;-212000000;-261000000;;;;;1486000000;-411000000;-49000000;41000000;-141000000;-17000000;932000000;-286000000;504000000;1774000000
BAS.DE;854462;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;918479000;919727891;4056000000;4291000000;-734000000;104000000;-640000000;-182000000;;926000000;7717000000;-4145000000;-1389000000;-2164000000;-6490000000;-2664000000;-6926000000;;-2160000000;-867000000
BAS.DE;854462;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;918479000;919515885;6078000000;4213000000;-339000000;-1167000000;-870000000;-915000000;;618000000;8785000000;-3996000000;-748000000;27000000;-3958000000;-2755000000;-5305000000;;394000000;5111000000
BAS.DE;854462;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;918479000;921135029;4707000000;3750000000;-66000000;-452000000;-394000000;-1249000000;;1191000000;7939000000;-3894000000;-1210000000;-7255000000;-11804000000;-2847000000;-3389000000;3000000;-52000000;-3976000000
BAS.DE;854462;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;918479000;920327869;8421000000;4218000000;-6575000000;1410000000;25000000;479000000;;906000000;7474000000;-3824000000;-1126000000;2361000000;-1190000000;-2939000000;-13698000000;;-6405000000;-84000000
BAS.DE;854462;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;918479000;918479000;-1060000000;6751000000;122000000;-400000000;-2176000000;849000000;;927000000;5413000000;-3129000000;-877000000;1280000000;-1904000000;-3031000000;-13552000000;;-1556000000;1872000000
BAYN.DE;849702;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;832502808;832502808;3756000000;3063000000;-61000000;-323000000;;;;;9089000000;-2467000000;-690000000;-16000000;-8729000000;-2126000000;-730000000;3300000000;-350000000;10000000
BAYN.DE;849702;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;872107808;872107808;3248000000;2660000000;474000000;229000000;;;;;8134000000;-2125000000;-313000000;295000000;-432000000;-2364000000;-2479000000;;-1881000000;5821000000
BAYN.DE;849702;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;904754504;904754504;1390000000;6241000000;-4496000000;4398000000;;;;;7917000000;-2363000000;2879000000;-37753000000;-34152000000;-2407000000;17819000000;8986000000;23432000000;-2803000000
BAYN.DE;849702;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;981690000;981690000;2410000000;5367000000;-1418000000;1624000000;;;;;8207000000;-2367000000;-272000000;2136000000;-671000000;-2615000000;-4296000000;;-8389000000;-847000000
BAYN.DE;849702;EUR;2020;FY;2020-12-31;2021-02-25;2022-02-15;981690000;981690000;-15561000000;13259000000;-1888000000;8759000000;;;;;4903000000;-2089000000;428000000;1909000000;-4073000000;-2768000000;4467000000;;423000000;1013000000
BEI.DE;854463;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;226818984;226818984;;148000000;1021000000;-227000000;;;;;942000000;-154000000;705000000;;-764000000;-159000000;-25000000;;-233000000;-46000000
BEI.DE;854463;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;226818984;226818984;768000000;150000000;12000000;-19000000;;;;;911000000;-165000000;935000000;;-633000000;-159000000;1000000;;-202000000;29000000
BEI.DE;854463;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;226818984;226818984;805000000;165000000;-37000000;-65000000;;;;;868000000;-319000000;695000000;-87000000;-635000000;-159000000;0;;-210000000;18000000
BEI.DE;854463;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;226818984;226818984;;239000000;998000000;-252000000;;;;;985000000;-307000000;1120000000;-452000000;-750000000;-159000000;199000000;;-21000000;226000000
BEI.DE;854463;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;226818984;226818984;577000000;257000000;-32000000;182000000;;;;;984000000;-272000000;740000000;;-731000000;-159000000;-127000000;;-317000000;-140000000
BMW.DE;825112;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;656804571;656804571;6910000000;4998000000;949000000;-9684000000;;;;;3173000000;-5813000000;-190000000;;-5863000000;-2121000000;3600000000;20000000;4393000000;1758000000
BMW.DE;825112;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;657109486;657109486;8675000000;4822000000;168000000;-7756000000;;;;;5909000000;-7082000000;-317000000;1236000000;-6163000000;-2324000000;7154000000;38000000;1572000000;1159000000
BMW.DE;825112;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;657600576;657600576;7097000000;5113000000;-426000000;-6733000000;;;;;5051000000;-7649000000;-128000000;414000000;-7363000000;-2630000000;8198000000;25000000;4296000000;1940000000
BMW.DE;825112;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;658118053;658118053;7118000000;6017000000;-7139000000;-2334000000;;;;;3662000000;-6820000000;47000000;;-7284000000;-2366000000;-143467000000;;4790000000;1057000000
BMW.DE;825112;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;659040590;659040590;5222000000;6139000000;1934000000;-44000000;;;;;13251000000;-6063000000;1275000000;;-3636000000;-1671000000;-7026000000;;-8254000000;1501000000
BNTX;1212484;EUR;2018;FY;2018-12-31;2019-04-01;2021-03-30;211499000;211499000;-47662000;21984000;7866000;-41065000;;;;;-58877000;-66452000;;;-66452000;;5600000;361725000;365177000;239389000
BNTX;1212484;EUR;2019;FY;2019-12-31;2020-03-31;2022-03-30;211499000;211499000;-179400000;33900000;30500000;-83500000;;;;;-198500000;-71100000;;-6100000;-77200000;;11000000;375400000;383300000;107600000
BNTX;1212484;EUR;2020;FY;2020-12-31;2021-03-30;2022-03-30;211499000;211499000;-145800000;38700000;186700000;-93100000;;;;;-13500000;-84200000;;-60600000;-144800000;;154400000;753000000;894700000;691100000
CON.DE;854464;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;200000000;200000000;2981700000;1961600000;-85500000;80300000;;;;;4938100000;-2655200000;;-511600000;-3166800000;-750000000;-347100000;;-1254700000;485500000
CON.DE;854464;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;200000000;200000000;3374700000;2117400000;-111900000;-159700000;;;;;5220500000;-2891800000;;-575900000;-3467700000;-850000000;-996800000;;-1879200000;-225500000
CON.DE;854464;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;200000000;200000000;3133300000;2208000000;-246400000;-117700000;;;;;4977200000;-3221400000;;-404800000;-3626200000;-900000000;467600000;;-471300000;879900000
CON.DE;854464;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;200000000;200000000;-1149900000;5245500000;108300000;210500000;;;;;4414400000;-3166400000;;-486300000;-3652700000;-950000000;858000000;;-220000000;580400000
CON.DE;854464;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;200000000;200000000;-1708900000;3751900000;-164800000;835800000;;;;;2714000000;-2068500000;;233200000;-1835300000;-600000000;-397000000;;-1140600000;-403100000
DAI.DE;825113;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;1069800000;1069800000;12574000000;5478000000;-3957000000;-10384000000;;;;;3711000000;-8467000000;-2330000000;-3905000000;-14666000000;-3477000000;15763000000;27000000;12009000000;1045000000
DAI.DE;825113;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;1069800000;1069800000;13967000000;5676000000;-4996000000;-16299000000;;;;;-1652000000;-9346000000;537000000;-687000000;-9518000000;-3477000000;16794000000;72000000;13129000000;1091000000
DAI.DE;825113;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;1069800000;1069800000;10595000000;6305000000;-2528000000;-14029000000;;;;;343000000;-10057000000;471000000;-417000000;-9921000000;-3905000000;17456000000;68000000;13226000000;3781000000
DAI.DE;825113;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;1069800000;1069800000;3830000000;7751000000;-1642000000;-2051000000;;;;;7888000000;-10406000000;1054000000;-1225000000;-10607000000;-3477000000;9404000000;43000000;5628000000;3030000000
DAI.DE;825113;EUR;2020;FY;2020-12-31;2021-02-18;2022-02-15;1069825436;1069825436;6339000000;8957000000;-915000000;7951000000;;;;;22332000000;-8195000000;2149000000;-402000000;-6421000000;-963000000;-9503000000;1000000;-10747000000;4165000000
DB1.DE;854467;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;186764058;186810215;1298200000;135300000;-69900000;257800000;;;;;1621400000;-164600000;-29000000;908500000;578500000;-420100000;-416600000;3800000;-848800000;1432500000
DB1.DE;854467;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;186835673;186853039;896000000;159900000;-106800000;107100000;;;;;1056200000;-149200000;546700000;-167900000;181900000;-439000000;0;-22700000;-501000000;727100000
DB1.DE;854467;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;184887281;184894886;852500000;210500000;2400000;232800000;;;;;1298200000;-159800000;220800000;-174400000;792000000;-453300000;-7600000;-357700000;-832900000;1258800000
DB1.DE;854467;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;183381196;183384448;1035400000;226200000;42000000;-377500000;;;;;926100000;-182300000;-178700000;-671100000;-723000000;-495000000;0;6200000;99400000;302500000
DB1.DE;854467;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;183381196;183381196;1125100000;264300000;69900000;-47200000;;;;;1412100000;-193000000;625300000;-454700000;-787700000;-531900000;342600000;9100000;-254200000;361300000
DHER.DE;1087474;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;171998900;171998900;-211400000;53300000;6700000;55400000;;;;;-96000000;-17300000;-3000000;130800000;112000000;;67100000;400000;58400000;70800000
DHER.DE;1087474;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;157734000;157734000;-353900000;54700000;31900000;56600000;;;;;-210700000;-21600000;2000000;-99000000;-117400000;;-368400000;1128400000;748800000;410200000
DHER.DE;1087474;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;186169000;186169000;-50400000;57900000;-238300000;66200000;;;;;-164600000;-48300000;-15600000;23300000;-37100000;0;-1200000;12000000;10600000;-201200000
DHER.DE;1087474;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;190355000;190355000;244800000;99600000;-790200000;81000000;;;;;-364800000;-91400000;381800000;329800000;627000000;200000;-27600000;27600000;0;259400000
DHER.DE;1087474;EUR;2020;FY;2020-12-31;2021-04-28;2022-02-15;200534000;200534000;-1418600000;148400000;262800000;477400000;;;;;-530000000;-207300000;-9500000;-689700000;-905300000;100000;3189600000;589800000;3764500000;2277700000
DPW.DE;854468;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;1203092606;1257325283;3491000000;1377000000;-2354000000;-75000000;;;;;2439000000;-1701000000;505000000;-288000000;-1643000000;-1155000000;1110000000;-836000000;-1233000000;-503000000
DPW.DE;854468;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;1210097823;1260834267;3741000000;1471000000;-854000000;-1061000000;;;;;3297000000;-1967000000;-98000000;207000000;-2091000000;-1390000000;654000000;-95000000;-1087000000;28000000
DPW.DE;854468;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;1230118545;1251910180;3162000000;3292000000;-375000000;-283000000;;;;;5796000000;-2498000000;59000000;-83000000;-2777000000;-1533000000;-971000000;-44000000;-3039000000;-85000000
DPW.DE;854468;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;1234109757;1256971969;4128000000;3684000000;-1767000000;4000000;;;;;6049000000;-3474000000;45000000;680000000;-2140000000;-1569000000;-1970000000;0;-4112000000;-188000000
DPW.DE;854468;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;1234109757;1234109757;4847000000;3830000000;-518000000;-460000000;;;;;7699000000;-2800000000;34000000;-8000000;-3640000000;-1579000000;23000000;-45000000;-2250000000;1617000000
DRI.DE;936426;EUR;2017;FY;2017-12-31;2018-03-08;2019-02-15;;;310371000;39768000;73997000;-130011000;;;;;294125000;-15556000;;54037000;4104000;0;-250347000;0;-153111000;145118000
DRI.DE;936426;EUR;2018;FY;2018-12-31;2019-03-08;2019-03-08;;;406032000;127274000;-132255000;-245499000;;;;;155552000;-12951000;;0;-21461000;-282823000;-171629000;-15352000;-279804000;-145713000
DTE.DE;1099105;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;4625000000;4625000000;4547000000;13380000000;-1789000000;-605000000;;;;;15533000000;-13276000000;-483000000;2000000;-13608000000;-1596000000;362000000;;-1322000000;850000000
DTE.DE;1099105;EUR;2017;FY;2017-12-31;2018-02-15;2018-11-16;4703000000;4703000000;2092000000;14586000000;2077000000;-1558000000;;;;;17197000000;-19094000000;251000000;513000000;-16814000000;-1559000000;-2531000000;;-4594000000;-4434000000
DTE.DE;1099105;EUR;2018;FY;2018-12-31;2019-02-15;2021-02-15;4742000000;4742000000;8001000000;13836000000;-3619000000;-269000000;;;;;17949000000;-11967000000;-639000000;-2147000000;-14296000000;-3254000000;1522000000;;-3260000000;368000000
DTE.DE;1099105;EUR;2019;FY;2019-12-31;2020-02-15;2022-02-15;4743000000;4743000000;7260000000;17663000000;2201000000;-4050000000;;;;;23074000000;-14241000000;-417000000;-199000000;-14231000000;-3561000000;-3333000000;;-7142000000;1712000000
